promo_id,article_no,store_id,start_date,end_date,offer_type,discount_pct,promo_channel,has_endcap,on_promo_bay,brand,category,sub_category
XAJI0Y,200061,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand10C,Snacks,Chips
6DPBHS,200062,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand10C,Snacks,Chips
AHXTHV,200063,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand10C,Snacks,Chips
3A3ZMF,200064,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand10C,Snacks,Chips
8MDD4V,200065,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand10C,Snacks,Chips
30T9NT,200066,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand10C,Snacks,Chips
3W5UZB,200006,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand02C,Snacks,Chips
IKCIDK,200007,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand02C,Snacks,Chips
WNNHJ7,200008,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand02C,Snacks,Chips
XVG0FN,200009,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand02C,Snacks,Chips
9XUY41,200010,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand02C,Snacks,Chips
IBLJH7,200011,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand02C,Snacks,Chips
5LXO6Q,200012,S001,2024-06-05,2024-06-11,40% Off,40.0,Catalog,True,True,CHIBrand02C,Snacks,Chips
JIUJV6,200120,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,True,BISBrand09B,Snacks,Biscuits
OH9SDB,200121,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,True,BISBrand09B,Snacks,Biscuits
DW2PCN,200122,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,True,BISBrand09B,Snacks,Biscuits
9T84AZ,200123,S001,2024-06-05,2024-06-11,30% Off,30.0,Catalog,False,True,BISBrand09B,Snacks,Biscuits
